[DEBUG] | 2025-02-13 18:36:18,017 | __main__ |   2072 | MainThread : Username inserted
[DEBUG] | 2025-02-13 18:36:20,520 | __main__ |   4575 | MainThread : Password inserted
[DEBUG] | 2025-02-13 18:36:20,757 | user_auth |   4812 | MainThread : Login successful
[DEBUG] | 2025-02-13 18:36:20,758 | qt_auth |   4813 | MainThread : User Log in successful
[DEBUG] | 2025-02-17 11:37:52,388 | __main__ |   3056 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:37:54,859 | __main__ |   5527 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 11:37:59,456 | __main__ |  10124 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 11:41:51,404 | __main__ |   2446 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:41:53,138 | __main__ |   4179 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 11:41:55,856 | __main__ |   6897 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 11:42:17,819 | __main__ |  28861 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:42:21,318 | __main__ |  32359 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:42:22,858 | __main__ |  33899 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 11:42:27,113 | __main__ |  38154 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 11:54:48,241 | __main__ |   3888 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:54:50,337 | __main__ |   5984 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 11:54:53,185 | __main__ |   8831 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 11:58:43,398 | __main__ |   1890 | MainThread : Admin login
[DEBUG] | 2025-02-17 11:58:45,303 | __main__ |   3796 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 11:58:47,570 | __main__ |   6063 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:01:44,031 | __main__ |   2448 | MainThread : Username inserted
[DEBUG] | 2025-02-17 13:01:59,877 | __main__ |  18294 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:02:00,123 | lib.user_auth |  18541 | MainThread : Login successful
[DEBUG] | 2025-02-17 13:02:00,123 | lib.qt_auth |  18541 | MainThread : User Log in successful
[DEBUG] | 2025-02-17 13:02:14,233 | __main__ |  32650 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:02:14,474 | lib.user_auth |  32892 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:02:14,474 | lib.qt_auth |  32892 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:05:50,395 | __main__ |   3111 | MainThread : Username inserted
[DEBUG] | 2025-02-17 13:06:59,315 | __main__ |   2128 | MainThread : Username inserted
[DEBUG] | 2025-02-17 13:07:18,344 | __main__ |  21157 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:07:18,344 | lib.qt_auth |  21157 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:14:19,614 | __main__ |   3699 | MainThread : Username inserted
[DEBUG] | 2025-02-17 13:14:48,504 | __main__ |  32590 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:14:48,740 | lib.user_auth |  32826 | MainThread : Login successful
[DEBUG] | 2025-02-17 13:14:48,740 | lib.qt_auth |  32826 | MainThread : User Log in successful
[DEBUG] | 2025-02-17 13:16:09,825 | __main__ |   2727 | MainThread : Username inserted
[DEBUG] | 2025-02-17 13:19:12,458 | __main__ |   1744 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:19:12,458 | __main__ |   1744 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:19:12,697 | lib.user_auth |   1983 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:19:12,697 | lib.qt_auth |   1983 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:23:49,558 | __main__ |   1701 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:23:49,559 | __main__ |   1702 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:23:49,796 | lib.user_auth |   1939 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:23:49,796 | lib.qt_auth |   1939 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:24:21,442 | __main__ |   2243 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:24:21,443 | __main__ |   2244 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:24:21,682 | lib.user_auth |   2483 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:24:21,682 | lib.qt_auth |   2483 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:24:30,857 | __main__ |   1714 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:24:30,858 | __main__ |   1716 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:24:31,095 | lib.user_auth |   1952 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:24:31,095 | lib.qt_auth |   1952 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:24:33,062 | __main__ |   3920 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 13:24:36,609 | __main__ |   7466 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:27:53,994 | __main__ | 204851 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:27:56,034 | __main__ | 206891 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:29:11,326 | __main__ |   1602 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:29:11,327 | __main__ |   1603 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:29:11,566 | lib.user_auth |   1842 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:29:11,566 | lib.qt_auth |   1842 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:29:14,035 | __main__ |   4310 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 13:29:18,886 | __main__ |   9162 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 13:29:19,128 | lib.user_auth |   9404 | MainThread : Login successful
[DEBUG] | 2025-02-17 13:32:04,214 | __main__ |   4013 | MainThread : Admin login
[DEBUG] | 2025-02-17 13:32:04,214 | __main__ |   4013 | MainThread : Password inserted
[DEBUG] | 2025-02-17 13:32:04,454 | lib.user_auth |   4252 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 13:32:04,454 | lib.qt_auth |   4252 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 13:32:06,827 | __main__ |   6626 | MainThread : Admin username inserted
